               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065386,             0.03961,            0.080436,            0.036914,              0.3223,            0.045205,            0.022227,            0.027434,            0.013371,            0.052524,            0.070121,           0.0033198,           0.0033198
                   1,            0.039925,            0.031911,            0.074226,             0.20312,             0.14778,            0.081426,            0.052958,            0.018756,              0.0114,            0.050094,             0.03999,           0.0065214,           0.0065214
                   2,            0.037588,            0.029584,            0.071034,             0.36791,             0.15412,              0.1157,            0.069517,            0.020844,            0.012441,            0.047241,            0.009726,            0.009591,            0.009591
                   3,            0.035659,            0.029709,            0.068303,             0.83936,             0.11625,             0.12996,            0.066408,            0.025618,            0.012739,             0.04704,            0.009406,            0.009406,            0.009406
                   4,            0.033654,            0.029137,            0.066203,             0.41377,             0.25221,              0.1762,             0.10687,            0.020673,            0.011323,            0.042447,            0.009406,            0.009406,            0.009406
                   5,            0.032406,            0.028866,            0.063543,             0.41241,             0.31749,             0.20967,             0.13361,            0.018246,            0.011417,            0.041538,            0.009208,            0.009208,            0.009208
                   6,            0.031023,            0.027993,            0.061324,             0.44782,             0.32844,             0.26283,             0.17613,            0.017092,            0.010627,            0.038058,             0.00901,             0.00901,             0.00901
                   7,            0.030625,            0.028157,            0.059779,             0.44372,             0.32999,             0.25986,              0.1642,            0.019432,            0.011909,            0.039098,            0.008812,            0.008812,            0.008812
                   8,            0.030455,            0.027913,            0.058358,             0.38346,             0.39174,             0.32517,             0.22938,              0.0162,            0.010486,            0.035181,            0.008614,            0.008614,            0.008614
                   9,            0.028393,            0.027033,            0.055143,             0.44509,             0.42107,             0.36829,             0.25582,            0.016748,             0.01035,            0.034206,            0.008416,            0.008416,            0.008416
                  10,            0.028594,            0.027177,            0.054728,             0.45858,             0.49353,             0.41433,                0.29,            0.016437,            0.010304,            0.031605,            0.008218,            0.008218,            0.008218
                  11,            0.028386,            0.026847,            0.052876,             0.50008,             0.45579,             0.43607,             0.29815,            0.016746,            0.011009,             0.02991,             0.00802,             0.00802,             0.00802
                  12,            0.028229,            0.026773,            0.050851,              0.5546,             0.47975,             0.47879,             0.34088,            0.015466,           0.0098343,            0.028509,            0.007822,            0.007822,            0.007822
                  13,            0.027917,            0.026271,            0.049211,             0.50511,             0.48061,             0.47404,             0.34175,            0.015357,              0.0101,            0.030363,            0.007624,            0.007624,            0.007624
                  14,            0.027611,            0.026586,             0.04815,             0.45007,             0.51135,             0.47162,             0.33642,             0.01564,            0.010276,            0.028114,            0.007426,            0.007426,            0.007426
                  15,            0.027155,            0.026622,            0.045635,             0.46963,             0.52064,             0.48976,             0.34699,            0.015416,            0.010315,            0.026307,            0.007228,            0.007228,            0.007228
                  16,            0.026552,            0.025975,            0.044949,             0.52981,             0.57875,             0.54294,             0.38798,            0.015288,            0.009897,            0.024733,             0.00703,             0.00703,             0.00703
                  17,            0.027171,            0.025851,            0.043107,             0.55877,             0.54931,             0.55811,             0.40614,            0.014336,           0.0098168,            0.025545,            0.006832,            0.006832,            0.006832
                  18,            0.027523,            0.025427,            0.044051,             0.57296,             0.55899,             0.56653,             0.41152,            0.014904,           0.0096687,            0.023613,            0.006634,            0.006634,            0.006634
                  19,            0.027059,            0.025192,            0.041372,             0.58847,             0.61213,             0.61072,             0.45106,              0.0148,           0.0095598,            0.021906,            0.006436,            0.006436,            0.006436
                  20,            0.026069,            0.025233,            0.040286,              0.6057,             0.59665,             0.61214,             0.44964,            0.014647,           0.0095915,            0.022488,            0.006238,            0.006238,            0.006238
                  21,            0.026237,            0.024887,            0.040031,             0.55897,              0.6087,             0.61448,             0.45316,            0.014544,           0.0096234,            0.020999,             0.00604,             0.00604,             0.00604
                  22,            0.025853,            0.025425,            0.038339,             0.58611,              0.5911,             0.61096,             0.45291,            0.014359,            0.009647,            0.022541,            0.005842,            0.005842,            0.005842
                  23,            0.025991,            0.024936,            0.035884,             0.58379,             0.60562,             0.63747,             0.47064,            0.014174,           0.0097489,            0.021272,            0.005644,            0.005644,            0.005644
                  24,            0.026557,            0.024751,            0.037901,             0.60046,             0.64563,             0.66792,              0.4942,            0.014198,           0.0094482,            0.019458,            0.005446,            0.005446,            0.005446
                  25,            0.025301,             0.02481,             0.03603,              0.6274,              0.6549,             0.68694,              0.5241,            0.014017,           0.0093297,            0.019539,            0.005248,            0.005248,            0.005248
                  26,            0.025424,            0.024239,             0.03488,             0.62572,             0.68008,             0.70175,             0.53203,            0.013476,           0.0091768,            0.017132,             0.00505,             0.00505,             0.00505
                  27,            0.025329,             0.02426,            0.032903,             0.64959,             0.66887,             0.70383,             0.53894,            0.013734,           0.0092488,            0.016874,            0.004852,            0.004852,            0.004852
                  28,            0.024683,            0.024178,             0.03273,             0.67998,              0.6591,             0.70685,             0.54299,            0.013601,           0.0090678,            0.016901,            0.004654,            0.004654,            0.004654
                  29,            0.024401,            0.023951,            0.030893,             0.67066,             0.65164,             0.68553,             0.52097,            0.013633,           0.0093597,            0.018322,            0.004456,            0.004456,            0.004456
                  30,            0.024238,            0.023676,            0.031871,             0.61399,             0.67514,             0.68301,             0.51985,            0.013584,           0.0092286,            0.018412,            0.004258,            0.004258,            0.004258
                  31,            0.024007,            0.023549,            0.031087,             0.64984,             0.72032,             0.73569,             0.56138,            0.013463,           0.0091168,            0.015751,             0.00406,             0.00406,             0.00406
                  32,            0.024805,            0.023908,            0.029941,             0.64218,             0.69998,             0.73117,             0.55804,            0.013438,           0.0088577,            0.015652,            0.003862,            0.003862,            0.003862
                  33,            0.022956,            0.023334,            0.028621,             0.75389,             0.67349,              0.7528,             0.58422,            0.012594,           0.0089018,            0.015306,            0.003664,            0.003664,            0.003664
                  34,            0.023373,            0.023181,            0.026537,             0.75237,             0.67079,             0.76261,             0.59202,            0.012917,           0.0088794,            0.014417,            0.003466,            0.003466,            0.003466
                  35,            0.023245,            0.022927,            0.027611,             0.70091,             0.68647,             0.74948,             0.57924,            0.013105,           0.0089628,            0.016124,            0.003268,            0.003268,            0.003268
                  36,            0.023071,            0.022548,             0.02718,             0.69605,             0.74089,             0.77823,             0.60697,             0.01267,           0.0086706,            0.013494,             0.00307,             0.00307,             0.00307
                  37,            0.022833,            0.022766,            0.025461,             0.75793,             0.71055,              0.7909,             0.61857,            0.012811,           0.0087506,            0.012446,            0.002872,            0.002872,            0.002872
                  38,             0.02259,             0.02222,            0.024732,             0.74745,             0.73276,             0.80001,             0.62657,            0.012662,           0.0085725,            0.013105,            0.002674,            0.002674,            0.002674
                  39,            0.022387,            0.022355,            0.024881,             0.75923,             0.74068,             0.80631,             0.63378,            0.012486,           0.0084852,            0.012965,            0.002476,            0.002476,            0.002476
                  40,            0.021994,             0.02182,            0.024191,             0.76334,             0.73513,              0.8022,             0.63019,            0.012551,           0.0086236,            0.012845,            0.002278,            0.002278,            0.002278
                  41,            0.021127,            0.022095,            0.023631,             0.73769,             0.74109,             0.80989,             0.64312,            0.012122,           0.0083097,            0.012496,             0.00208,             0.00208,             0.00208
                  42,            0.021745,            0.021765,            0.023239,             0.75469,              0.7535,             0.80449,              0.6337,            0.012502,           0.0085502,            0.012561,            0.001882,            0.001882,            0.001882
                  43,             0.02114,            0.021519,            0.023087,             0.75611,             0.74778,             0.82139,             0.65442,            0.012249,           0.0083679,            0.011951,            0.001684,            0.001684,            0.001684
